sample,term,est,se,ci_l,ci_u,exp_est,exp_ci_l,exp_ci_u,label,pm_source,b,b_success,n_complete,n_incomplete,ptd_direct,calibration_scope,theta_complete,gamma_complete,gamma_incomplete,gamma_incomplete_se,omega,omega_fallback,var_gamma_incomplete,var_gamma_complete,cov_theta_gamma,failure_reason
epa,pm_di_mean,0.00161542430226893,0.000321523917238397,0.000852074287304613,0.00208443760270177,0.00161672980299166,0.000852437405727491,0.00208661155298695,Di,pm_di_mean,1000,1000,104344,776,TRUE,epa,0.00162428867084915,0.000735253812741424,-0.282565670076999,0.0552143127274427,3.12895858527846e-05,FALSE,0.00304862032996384,2.50672547425984e-07,9.53979109871416e-08,
full,pm_di_mean,0.00129062492384895,0.000285752449655026,0.000644548332234845,0.00174329141320829,0.00129145813861342,0.00064475609814707,0.00174481182906483,Di,pm_di_mean,1000,1000,130979,418921,TRUE,full,0.00148371038426101,0.000651160281247427,-0.0018843765885661,0.000930777954202213,0.076151706847891,FALSE,8.66347600028857e-07,2.51197379161212e-07,8.51029576446145e-08,
no_epa,pm_di_mean,0.00133045813794711,0.000275150322811093,0.000665872251313482,0.00175218172706696,0.00133134359001752,0.000666093993455519,0.00175371769443622,Di,pm_di_mean,1000,1000,130979,385920,FALSE,external_full_epa,0.00148371038426101,0.000651160281247427,-0.00195434551073548,0.001023886666539,0.0588186166330763,FALSE,1.04834390591635e-06,2.3597626265723e-07,7.55419356294572e-08,
epa,pm_dr_spcv_mean,0.0016247769271924,0.000314624463950111,0.000979755624523686,0.00214519593760463,0.00162609759238919,0.00098023574185202,0.00214749851660989,Dickinson,pm_dr_spcv_mean,1000,1000,104334,776,TRUE,epa,0.00162527027576247,0.00394763749418336,-0.227041172465033,0.230097211226158,2.13581155794344e-06,FALSE,0.0529447266140551,4.17231936915846e-07,1.13080850163247e-07,
full,pm_dr_spcv_mean,0.00119226415298831,0.000288396562510519,0.000537628646385992,0.00164149564412422,0.00119297518244377,0.000537773194569935,0.00164284363557221,Dickinson,pm_dr_spcv_mean,1000,1000,130965,418887,TRUE,full,0.0014846834271715,0.00376432666827355,-0.00166664658301867,0.00117690923447004,0.0538428861003147,FALSE,1.38511534618086e-06,3.70667441692033e-07,9.45364126643332e-08,
no_epa,pm_dr_spcv_mean,0.00124958060961794,0.000286700905708261,0.000581166396978253,0.00168199590497351,0.00125036166076287,0.000581335306888642,0.00168341125351135,Dickinson,pm_dr_spcv_mean,1000,1000,130965,385891,FALSE,external_full_epa,0.0014846834271715,0.00376432666827355,-0.00140534367091493,0.00130540142150654,0.0454773326204907,FALSE,1.70407287127128e-06,3.63089319431361e-07,9.40090225270865e-08,
epa,pm_wei_mean,0.00162103084940865,0.000306852148559681,0.000940082086204306,0.00211869037085468,0.00162234543014539,0.00094052410186829,0.00212093638121846,Wei,pm_wei_mean,1000,1000,104344,776,TRUE,epa,0.00162428867084915,0.00321384912794113,-0.542436940444977,0.126170116380834,5.97052456032577e-06,FALSE,0.0159188982675531,2.95851089813947e-07,9.50459394659513e-08,
full,pm_wei_mean,0.00121020479048106,0.000292468531561926,0.000553534420540472,0.00167737145254764,0.00121093738379807,0.000553687648988888,0.0016787790269408,Wei,pm_wei_mean,1000,1000,130979,418921,TRUE,full,0.00148371038426101,0.00308012444517138,-0.00137828205602125,0.00117049789082685,0.0613460422926413,FALSE,1.3700653124301e-06,2.99356465583479e-07,1.02412418998278e-07,
no_epa,pm_wei_mean,0.00129939139311297,0.000288229734702127,0.000638360753395266,0.00173454523346696,0.00130023596788065,0.0006385645489837,0.00173605042720015,Wei,pm_wei_mean,1000,1000,130979,385920,FALSE,external_full_epa,0.00148371038426101,0.00308012444517138,-0.0010536616617553,0.00131738880951532,0.0445884200053778,FALSE,1.7355132754362e-06,2.67826772908244e-07,8.93257674891759e-08,
epa,pm_wustl_mean,0.00162419403441792,0.000321978598331969,0.000945001230557081,0.00216928188782903,0.00162551375194431,0.000945447884905137,0.00217163648206853,van Donkelaar NA,pm_wustl_mean,1000,1000,104344,776,TRUE,epa,0.00162428867084915,-3.29624227378607e-05,-0.0760747441666296,0.227499849671585,1.24453200677281e-06,FALSE,0.0517561816005937,2.84483861945772e-07,6.44125785995564e-08,
full,pm_wustl_mean,0.00137612120461368,0.000278678838043217,0.000723175227107553,0.00178780359011612,0.00137706849387698,0.000723436781358222,0.00178940266375571,van Donkelaar NA,pm_wustl_mean,1000,1000,130979,418921,TRUE,full,0.00148371038426101,-9.09824852920059e-05,-0.0023387981960101,0.000884206786814823,0.0478638792025152,FALSE,7.81821641849393e-07,2.40166070679714e-07,4.8916296418948e-08,
no_epa,pm_wustl_mean,0.00137390015223224,0.000292059015572367,0.00066608784917236,0.001789539787163,0.00137484438542423,0.000666309734946191,0.00179114196906816,van Donkelaar NA,pm_wustl_mean,1000,1000,130979,385920,FALSE,external_full_epa,0.00148371038426101,-9.09824852920059e-05,-0.00244935797535299,0.00103836801651731,0.0465618102340119,FALSE,1.0782081377261e-06,2.54681332097569e-07,6.20617465568424e-08,
epa,pm_wustlg_mean,0.00161922911046007,0.000302469726965458,0.000914794287626986,0.00211539693251487,0.00162054076977958,0.000915212839541324,0.0021176359631403,van Donkelaar global,pm_wustlg_mean,1000,1000,104344,776,TRUE,epa,0.00162428867084915,0.000336165272526791,-0.342879311134047,0.059045670258797,1.47416440600373e-05,FALSE,0.00348639117631058,2.53576641825331e-07,5.13988759118212e-08,
full,pm_wustlg_mean,0.00137285216820984,0.0002909787607032,0.000716331784903336,0.00184362465232573,0.00137379496113677,0.000716588411789454,0.00184532517313518,van Donkelaar global,pm_wustlg_mean,1000,1000,130979,418921,TRUE,full,0.00148371038426101,0.000422237514520389,-0.00128987954830315,0.000737397914263539,0.0647492034617926,FALSE,5.43755683960218e-07,2.45771583223431e-07,5.11212616615072e-08,
no_epa,pm_wustlg_mean,0.0014164348907225,0.000281106674822898,0.000743947674520936,0.00185234496322627,0.00141743850841936,0.000744224472228883,0.00185406161393709,van Donkelaar global,pm_wustlg_mean,1000,1000,130979,385920,FALSE,external_full_epa,0.00148371038426101,0.000422237514520389,-0.000852635694435057,0.000848257736648305,0.0527703406628416,FALSE,7.19541187783705e-07,2.59873094175426e-07,5.16840253090358e-08,
